gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulate
PPP2R1B,0.025983344,7.729178005,0.867479194,0.386310857,0.480682238,-6.073372576,unchanged
POM121L4P,0.02598215,7.436951189,1.464778327,0.143934933,0.215197104,-5.39520513,unchanged
PFKL,-0.02597962,8.789317335,-0.300882378,0.763693969,0.818630546,-6.396671136,unchanged
SDC3,-0.025978888,7.674122057,-1.402330685,0.161757994,0.236720301,-5.482203744,unchanged
UTS2D,-0.025978487,7.835366466,-0.415111299,0.678330608,0.74714973,-6.356692397,unchanged
KIAA1432,0.025973403,7.338136097,1.701869781,0.089723086,0.146967967,-5.030917768,unchanged
MUC15,-0.025973079,7.461280381,-1.866989397,0.062791,0.110309842,-4.745580306,unchanged
NEB,0.025970239,7.333238107,1.377002189,0.169446413,0.245955957,-5.51642292,unchanged
DBX1,0.025970122,7.2509704,1.758443406,0.07960047,0.13329092,-4.936070805,unchanged
LOC100129144,0.02596876,7.314540848,1.710051477,0.088197779,0.144945437,-5.017389296,unchanged
MIR451,0.025968069,7.304118498,1.909651292,0.057046356,0.102200195,-4.667655715,unchanged
LOC641834,-0.025967134,7.484219336,-1.62723968,0.104642109,0.166460192,-5.151375214,unchanged
LOC388210,0.025961609,7.299893334,1.70640245,0.088875449,0.145822739,-5.02343085,unchanged
LOC643100,0.025961295,7.312913899,1.707947125,0.088588071,0.145495548,-5.020874938,unchanged
STAG3,0.02595346,7.678089951,0.704899236,0.481370933,0.572403206,-6.198140305,unchanged
LOC652367,0.025949829,7.299343916,1.729271515,0.084697145,0.140315086,-4.985358285,unchanged
LOC100129093,0.025942116,7.505892556,1.125904807,0.261025244,0.348926484,-5.822250218,unchanged
DTNBP1,0.02593739,7.323083288,1.198283756,0.23166779,0.316673561,-5.74033164,unchanged
LOC100133982,0.025930368,7.292176514,1.613499782,0.107593279,0.17019852,-5.172973311,unchanged
FAM23B,0.025929514,7.450976864,1.345155261,0.179500209,0.257716344,-5.558573727,unchanged
LDLRAD2,0.025919696,7.293027088,1.895962725,0.058839739,0.104643567,-4.692846319,unchanged
MS4A10,0.025916975,7.271014333,1.635480486,0.102903287,0.164246919,-5.138334856,unchanged
LOC100132390,0.025915411,7.256298118,1.814339508,0.070534857,0.120873491,-4.839372812,unchanged
MIR1909,-0.025914852,7.511993211,-1.601172595,0.110297017,0.173662543,-5.192197366,unchanged
LOC390551,0.025912102,7.424669076,1.684789159,0.092976174,0.1512716,-5.058955249,unchanged
LOC389199,0.025907828,7.28215655,1.7726274,0.077214413,0.130012975,-4.911813954,unchanged
F7,-0.025907826,7.557531192,-1.457097117,0.14604195,0.217824059,-5.406107936,unchanged
ACTL8,-0.025901455,7.479832675,-1.725056715,0.085454981,0.141349082,-4.992412513,unchanged
LGMN,0.025899144,7.339404545,1.26310812,0.207443439,0.290018459,-5.662671651,unchanged
LOC100131649,-0.02589616,7.503521799,-1.794225577,0.073693856,0.125204118,-4.874510705,unchanged
MIR1228,0.025894876,7.267751566,1.574731502,0.116278124,0.18103005,-5.232942328,unchanged
LOC402538,0.025893625,7.38786039,1.231684993,0.218945125,0.302678416,-5.700822801,unchanged
TBC1D17,0.025893362,7.309196522,1.550900551,0.121885503,0.188331324,-5.269092687,unchanged
COL4A3,0.02588771,7.280062222,1.790164667,0.07434554,0.126042902,-4.881558304,unchanged
COMMD6,0.025885503,9.732915183,0.277394588,0.781651101,0.833529543,-6.403311415,unchanged
LOC440287,0.02588145,7.458192692,1.658171326,0.098234582,0.158189087,-5.102093858,unchanged
LOC100129631,0.025877275,7.270526077,1.688607484,0.092240821,0.150246309,-5.052711659,unchanged
LOC100133441,0.025872246,7.253778045,1.834325197,0.067507367,0.116749181,-4.804078885,unchanged
GBX1,-0.025872057,7.450933069,-1.987157427,0.047732692,0.088532538,-4.521685432,unchanged
TRPM8,-0.025871716,7.345097068,-1.455737377,0.146417396,0.21829591,-5.408032075,unchanged
LOC643547,0.025869934,7.310704987,1.653270214,0.099228338,0.159533596,-5.109963308,unchanged
GTF3C5,-0.025864966,8.790831068,-0.315149797,0.752847423,0.809654916,-6.392374368,unchanged
LOC645818,0.025864626,7.275027594,1.691376316,0.091710526,0.149572689,-5.04817548,unchanged
LOC653073,-0.025863671,7.746384861,-1.041552978,0.298382635,0.388518025,-5.911330212,unchanged
LOC652765,0.025854853,7.27145636,1.721925355,0.086021568,0.142127112,-4.997642469,unchanged
COLEC12,0.025853843,7.248361752,1.637577765,0.102464463,0.163708728,-5.135005753,unchanged
LOC651808,0.025853463,7.275201967,1.610588774,0.108226951,0.171015939,-5.177526067,unchanged
LOC647778,0.025850664,7.417540986,1.51807517,0.129954366,0.198121464,-5.317997789,unchanged
LOC100129633,0.025847053,7.319201432,1.954942439,0.051435117,0.09408914,-4.583045799,unchanged
LOC645104,0.025843069,7.324768842,1.79413985,0.073707565,0.125204118,-4.874659644,unchanged
LOC644853,0.025841641,7.338095673,1.70061083,0.089959674,0.147294085,-5.032993792,unchanged
AMD1,0.02583926,10.1512594,0.164759716,0.869234148,0.902756826,-6.427661347,unchanged
LOC646049,-0.025836055,7.590631226,-1.455071892,0.146601417,0.218487349,-5.408973142,unchanged
MGAM,0.025828677,7.748151869,0.515436151,0.606593937,0.686463567,-6.311070574,unchanged
OR12D2,-0.025827715,7.527066574,-1.672652066,0.095345035,0.154366514,-5.078709155,unchanged
