gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,regulate
IFI27,1.45826528,12.3139219,3.133675887,0.001881399,0.007449969,-1.710773488,up-regulated
LOC642333,-1.363870192,10.02069338,-7.50905463,5.63E-13,4.21E-10,18.95920542,down-regulated
DEFA1B,1.29053992,12.56375035,4.243299262,2.87E-05,0.000418207,2.126098447,up-regulated
RSAD2,1.254487849,10.4716011,3.268639545,0.001194693,0.005376717,-1.301294763,up-regulated
CCNY,-1.241227605,10.44489856,-8.205143326,5.24E-15,5.88E-12,23.44210891,down-regulated
RABGAP1,-1.156778503,9.20165497,-8.670526786,1.99E-16,2.60E-13,26.58296611,down-regulated
IFITM3,1.145540625,10.5005683,3.666143371,0.000286939,0.001987574,-0.002064121,up-regulated
KLF6,-1.126076223,9.457582741,-7.169911772,4.97E-12,2.65E-09,16.87547588,down-regulated
HDC,-1.110853655,9.925698775,-4.208015832,3.33E-05,0.000461797,1.987961882,down-regulated
CDK9,-1.099340291,9.441650309,-10.4821974,2.24E-22,1.00E-18,39.74620852,down-regulated
TMEM137,-1.076008296,8.171109794,-8.280033258,3.12E-15,3.63E-12,23.94006278,down-regulated
SYNJ2BP,-1.075609769,9.213373932,-10.23665177,1.55E-21,5.41E-18,37.88478662,down-regulated
OLFM4,1.023500137,8.960024914,3.571356687,0.000408045,0.002525329,-0.32439155,up-regulated
OAS2,1.020995195,12.21530935,3.917645451,0.000108741,0.001035261,0.890638602,up-regulated
IL1RN,0.996158424,11.49029301,6.29563462,9.77E-10,2.95E-07,11.83427569,up-regulated
LOC402251,-0.98749378,11.47792348,-4.967054707,1.09E-06,5.18E-05,5.182769061,down-regulated
PAFAH2,-0.987097579,8.936867261,-10.5339541,1.48E-22,7.76E-19,40.14130421,down-regulated
TNFSF14,-0.971364231,11.51195879,-6.661615302,1.14E-10,4.41E-08,13.8845247,down-regulated
IFI44L,0.96308649,11.23908909,2.26902297,0.02391319,0.050802395,-3.943216897,up-regulated
SPATS2L,0.949547922,9.383916345,3.883287861,0.000124536,0.001129542,0.765501435,up-regulated
HES4,0.947015829,10.99018992,3.041056614,0.002546588,0.009242593,-1.98237939,up-regulated
IFIT1,0.945216573,12.22636558,2.767080733,0.005975527,0.017310219,-2.740595365,up-regulated
IFI44,0.942626578,11.99962631,3.309394671,0.001038459,0.004852883,-1.174467114,up-regulated
ZNF148,-0.932764376,8.571672449,-7.550933056,4.28E-13,3.41E-10,19.22121358,down-regulated
OTOF,0.920447928,8.409329147,3.435279232,0.00066766,0.003560586,-0.773472443,up-regulated
FOXP1,-0.920236049,8.834036132,-7.922264131,3.62E-14,3.35E-11,21.58808261,down-regulated
DHX58,0.905872621,10.12126477,4.488640893,9.92E-06,0.000208296,3.114956179,up-regulated
PTP4A2,-0.900340661,13.00102487,-7.20976488,3.86E-12,2.21E-09,17.11676778,down-regulated
LOC440595,-0.887819544,13.10620885,-5.351204702,1.64E-07,1.48E-05,6.97244484,down-regulated
PHKA2,-0.878222431,10.94854602,-7.548848221,4.34E-13,3.41E-10,19.20814599,down-regulated
LYRM7,-0.866048215,9.59431112,-8.773304189,9.50E-17,1.36E-13,27.29115398,down-regulated
TTC14,-0.846228877,8.75916069,-8.864083178,4.93E-17,7.75E-14,27.92089145,down-regulated
TNPO3,-0.844745624,8.313179113,-10.3779169,5.10E-22,2.00E-18,38.95303195,down-regulated
MLL5,-0.836454171,8.803173496,-7.205931616,3.96E-12,2.22E-09,17.09351728,down-regulated
OLIG2,-0.832439533,9.112914018,-3.886138045,0.000123147,0.001122556,0.775844228,down-regulated
FGF9,-0.82947504,7.976096232,-7.583793723,3.45E-13,2.86E-10,19.42751323,down-regulated
ANKRD44,-0.827186142,9.138528576,-6.628064741,1.39E-10,5.20E-08,13.69289206,down-regulated
MS4A7,-0.823511072,9.507018126,-4.908539752,1.45E-06,6.29E-05,4.920138508,down-regulated
ZNF526,-0.81895084,8.092205538,-9.19236462,4.46E-18,7.78E-15,30.23033277,down-regulated
LOC389765,-0.805869624,11.35487396,-6.055598023,3.81E-09,9.08E-07,10.53866522,down-regulated
IRF7,0.794671566,11.23793838,3.15535371,0.001750866,0.007079834,-1.646095893,up-regulated
NUCKS1,-0.790844836,10.10533197,-5.351331472,1.64E-07,1.48E-05,6.973053941,down-regulated
THOC2,-0.786016691,9.222934092,-5.695981943,2.72E-08,4.15E-06,8.673098718,down-regulated
WDR73,-0.783603839,7.732363107,-10.88550149,8.86E-24,6.96E-20,42.84907393,down-regulated
LOC729120,-0.782820326,11.60927795,-6.189923177,1.79E-09,4.97E-07,11.25881289,down-regulated
SNHG7,-0.782322152,8.387125857,-7.485485647,6.57E-13,4.69E-10,18.81219654,down-regulated
FYN,-0.777980975,12.26814841,-4.889672646,1.58E-06,6.64E-05,4.836028441,down-regulated
WIBG,-0.776395032,9.860660238,-5.619222234,4.09E-08,5.52E-06,8.286910166,down-regulated
LOC651309,-0.771507294,7.945543544,-9.418290274,8.27E-19,1.63E-15,31.84791279,down-regulated
CLC,-0.766770579,13.47090867,-4.549923805,7.56E-06,0.00017641,3.369620822,down-regulated
GOLGA8B,-0.756134073,11.90109047,-4.496500695,9.58E-06,0.000204593,3.147448008,down-regulated
ZNF577,-0.753479828,10.73208383,-6.108038495,2.84E-09,7.20E-07,10.81832442,down-regulated
FBXO6,0.747474813,9.873988453,4.362854765,1.72E-05,0.000301074,2.601808006,up-regulated
TNFAIP6,0.745554001,9.990093465,3.679785365,0.000272592,0.001913078,0.044965859,up-regulated
CAMP,0.743718135,12.99433918,3.474381751,0.000580488,0.003224283,-0.64608236,up-regulated
WSB1,-0.741634208,10.55774414,-5.944098391,7.08E-09,1.44E-06,9.950434252,down-regulated
RNU6-1,-0.737652435,9.67279426,-6.250144071,1.27E-09,3.73E-07,11.58570372,down-regulated
PLDN,-0.737060715,12.15401927,-6.200529079,1.68E-09,4.77E-07,11.31620366,down-regulated
FLJ38717,-0.736747229,10.15363772,-4.759113696,2.92E-06,9.71E-05,4.261663813,down-regulated
CDC2L2,-0.735811331,7.510026374,-15.55674101,2.66E-41,8.36E-37,81.56388102,down-regulated
MT1A,0.735329653,9.660397389,4.608687628,5.80E-06,0.00014935,3.616664828,up-regulated
KLRF1,-0.731307896,10.23068877,-3.784499962,0.000182938,0.001457702,0.411296658,down-regulated
LOC653888,-0.73117828,9.789744543,-3.533048425,0.000469449,0.002786285,-0.452449017,down-regulated
ZNF275,-0.726797994,7.802023223,-12.79097688,1.08E-30,1.70E-26,58.14642475,down-regulated
RHBDL2,-0.724587854,10.61430688,-5.777709664,1.75E-08,3.05E-06,9.08897389,down-regulated
TNFSF15,-0.720527683,9.946437862,-6.02076283,4.63E-09,1.05E-06,10.35395183,down-regulated
NFX1,0.719672845,8.656386806,10.8343611,1.34E-23,8.42E-20,42.45261443,up-regulated
OASL,0.719618954,11.19957034,2.323646007,0.020752512,0.045366527,-3.82252101,up-regulated
HERC6,0.719537972,10.02063431,3.248325397,0.001280467,0.005639975,-1.363962174,up-regulated
SIPA1L2,0.717634231,9.799701083,4.268235056,2.58E-05,0.000387154,2.224344978,up-regulated
LOC347376,-0.717415828,9.527787421,-5.379782712,1.42E-07,1.33E-05,7.110060576,down-regulated
DNTTIP1,0.712505309,10.46012025,5.124633607,5.09E-07,3.06E-05,5.903235379,up-regulated
MBOAT2,-0.712280863,9.254894221,-5.758752843,1.94E-08,3.21E-06,8.992082329,down-regulated
RNU6-15,-0.710985905,9.743861887,-5.98436304,5.67E-09,1.23E-06,10.16184937,down-regulated
CD84,-0.708224335,8.082934751,-8.071581039,1.31E-14,1.33E-11,22.56137279,down-regulated
LOC100127975,-0.707917452,10.78220318,-5.561973529,5.52E-08,6.80E-06,8.001683955,down-regulated
LOC100134868,-0.70466517,10.81963351,-5.719815103,2.39E-08,3.88E-06,8.793876772,down-regulated
PRIC285,0.704335959,12.1579509,3.991171372,8.11E-05,0.000846227,1.161795309,up-regulated
MIAT,-0.70310055,8.48159414,-5.219299126,3.19E-07,2.26E-05,6.345230635,down-regulated
C1orf152,-0.702778083,7.540715763,-9.469589541,5.63E-19,1.18E-15,32.21829765,down-regulated
TRIM25,0.695360256,10.89081193,3.83075497,0.000152946,0.001295308,0.5761076,up-regulated
DEFA4,0.693241868,8.575574861,3.426994017,0.000687636,0.003634432,-0.80029248,up-regulated
GAPVD1,0.692831784,10.2679886,5.342534994,1.71E-07,1.53E-05,6.930817451,up-regulated
NBPF20,-0.689361256,8.427001715,-4.366951934,1.69E-05,0.000296882,2.618318882,down-regulated
BCYRN1,-0.686171874,11.02501833,-6.34202516,7.48E-10,2.37E-07,12.08921093,down-regulated
XRCC2,-0.685987779,12.54528664,-6.063337283,3.65E-09,8.76E-07,10.57981754,down-regulated
LAMP3,0.685259725,8.648195437,4.064474487,6.02E-05,0.000689531,1.436670236,up-regulated
CTSG,0.684958009,9.233028624,2.678802295,0.007759283,0.021199843,-2.97038659,up-regulated
YPEL3,0.682645733,10.82552842,4.00391475,7.70E-05,0.000816441,1.209256102,up-regulated
ZNF689,-0.682474181,8.67050691,-7.146307847,5.77E-12,3.02E-09,16.73302074,down-regulated
RBM3,-0.67864164,9.39145815,-6.43067956,4.46E-10,1.48E-07,12.58043537,down-regulated
6-Mar,-0.678623926,9.307105914,-3.707740868,0.000245277,0.00178189,0.141842124,down-regulated
CYP4F3,0.678407662,10.76538088,3.138148208,0.001853755,0.00736883,-1.697464271,up-regulated
ZNF160,-0.677267121,9.57744863,-6.083708208,3.26E-09,7.94E-07,10.68833608,down-regulated
VHL,-0.676967528,10.52396576,-4.341886814,1.88E-05,0.000316717,2.517526353,down-regulated
ISG15,0.675523629,13.33695835,2.395636126,0.017149134,0.039093706,-3.659212921,up-regulated
LOC401622,-0.674619231,7.990806526,-7.675757928,1.88E-13,1.60E-10,20.00815942,down-regulated
HBB,-0.673741995,13.17908402,-2.62887116,0.008968304,0.023666714,-3.097204119,down-regulated
CCDC34,-0.669381741,8.519506454,-7.319419743,1.92E-12,1.23E-09,17.78562487,down-regulated
FAM73A,-0.668813054,12.06332965,-5.496317655,7.78E-08,8.76E-06,7.677536439,down-regulated
CCDC47,-0.668746667,9.493908802,-4.026787067,7.02E-05,0.000767657,1.294783802,down-regulated
YWHAB,0.668141442,11.90294895,7.458765155,7.81E-13,5.46E-10,18.64592248,up-regulated
LOC100129269,-0.665190435,11.2999542,-5.575614007,5.14E-08,6.46E-06,8.06942597,down-regulated
FAM153B,-0.664763712,9.426656081,-5.765054707,1.88E-08,3.14E-06,9.02426356,down-regulated
TLR2,0.664102666,9.930383725,4.345512773,1.85E-05,0.000314482,2.532075261,up-regulated
YIPF6,-0.663639943,10.09061183,-4.767718041,2.80E-06,9.47E-05,4.29910237,down-regulated
GDE1,0.659720667,10.43835828,4.654638376,4.71E-06,0.000130666,3.811775726,up-regulated
LOC100132585,-0.658222632,12.41099861,-5.236581419,2.92E-07,2.15E-05,6.426659108,down-regulated
TTC19,-0.657429726,9.899142522,-4.712717042,3.61E-06,0.000111272,4.060799111,down-regulated
SLC38A1,-0.656382945,8.988972463,-5.296668219,2.16E-07,1.77E-05,6.711529751,down-regulated
GSTTP2,-0.656112794,9.454056607,-5.787639324,1.66E-08,2.92E-06,9.139829139,down-regulated
GNLY,-0.654129697,12.11968551,-3.136045695,0.001866704,0.007410928,-1.703723382,down-regulated
LOC100130276,-0.653956874,10.0838604,-5.390383773,1.34E-07,1.29E-05,7.161264854,down-regulated
LOC728903,-0.653296031,13.04693822,-5.955136011,6.66E-09,1.37E-06,10.00827521,down-regulated
FOXO3,-0.652201115,10.06223649,-3.17550795,0.001637062,0.006756783,-1.585588197,down-regulated
ARL16,-0.65180363,13.56924774,-6.590318393,1.74E-10,6.29E-08,13.47817162,down-regulated
EPSTI1,0.650240572,11.99390627,2.288635667,0.022733098,0.048813198,-3.900200109,up-regulated
LOC643384,0.649616851,11.84504623,4.142802352,4.37E-05,0.000555522,1.735369024,up-regulated
FLJ40722,-0.646111703,11.12448568,-5.279945852,2.35E-07,1.86E-05,6.631975036,down-regulated
GALNT3,-0.645589257,9.340600425,-5.800652922,1.55E-08,2.78E-06,9.206586058,down-regulated
MT1E,0.645350119,9.753420418,3.37267395,0.000833068,0.004157009,-0.974639242,up-regulated
LY6E,0.644373279,9.482773718,2.719295967,0.006888771,0.01930908,-2.865863632,up-regulated
SORT1,0.642306879,9.553661276,5.587827785,4.82E-08,6.19E-06,8.130198477,up-regulated
IFIH1,0.640604279,10.34952884,3.423125805,0.000697152,0.003666845,-0.812793641,up-regulated
XAF1,0.640217188,12.56021233,2.686369953,0.007589436,0.020834488,-2.950966708,up-regulated
LOC730993,-0.640175312,9.531525941,-5.318480073,1.94E-07,1.64E-05,6.815614103,down-regulated
LOC100128098,-0.637204954,12.44835211,-5.471753822,8.84E-08,9.48E-06,7.55708154,down-regulated
ICOS,-0.635589237,12.40740937,-4.279080021,2.46E-05,0.000376382,2.267234239,down-regulated
ZNF738,-0.635459138,13.12457454,-5.335154825,1.78E-07,1.56E-05,6.895426232,down-regulated
LOC100129211,-0.635411782,12.78691801,-5.522912786,6.77E-08,7.98E-06,7.808455439,down-regulated
LOC100133678,-0.63503543,10.12019085,-1.83848426,0.066891036,0.11598156,-4.796686547,unchanged
AKAP11,-0.634929978,7.741312732,-7.867386247,5.24E-14,4.71E-11,21.2334306,down-regulated
LOC644852,-0.633316645,10.25324428,-5.082771227,6.25E-07,3.55E-05,5.709967177,down-regulated
LOC100128510,-0.632348052,12.03308446,-5.159154869,4.29E-07,2.73E-05,6.06362289,down-regulated
DDX58,0.629769887,9.564447759,3.431585588,0.000676497,0.00359096,-0.785436559,up-regulated
NLRP3,0.629726838,11.25676307,5.674164651,3.05E-08,4.51E-06,8.562897182,up-regulated
TIMM10,0.627627039,10.63428129,2.777255745,0.005795824,0.016939027,-2.713652733,up-regulated
LOC653829,-0.626817512,9.402068635,-5.284784293,2.29E-07,1.83E-05,6.654971644,down-regulated
PARP12,0.626817435,11.95176185,3.581653582,0.000392874,0.002461491,-0.289753398,up-regulated
CD300LF,0.626770816,10.6066121,4.361687177,1.73E-05,0.000302141,2.597105352,up-regulated
IFIT5,0.623048048,9.05628422,3.764403528,0.000197629,0.001533172,0.340261691,up-regulated
MYO3B,-0.622943261,10.68408688,-4.948424962,1.20E-06,5.47E-05,5.098864023,down-regulated
FAM40B,-0.621694647,10.58603708,-4.59890957,6.06E-06,0.000152945,3.575364976,down-regulated
TECPR1,-0.620996318,8.192898902,-6.419477685,4.77E-10,1.56E-07,12.51807622,down-regulated
ZNF652,-0.617354002,13.04686752,-5.69229443,2.77E-08,4.21E-06,8.65444844,down-regulated
SPRYD5,-0.612548204,8.68454042,-3.587647667,0.000384288,0.002419273,-0.269547255,down-regulated
STAT2,0.612209963,12.79116068,3.96150076,9.13E-05,0.000919325,1.051822625,up-regulated
LOC255167,-0.612185478,13.27198856,-5.700124317,2.66E-08,4.15E-06,8.694061285,down-regulated
LOC90586,-0.611850622,13.28302294,-5.575797566,5.14E-08,6.46E-06,8.070338498,down-regulated
CD96,-0.61159759,10.69843702,-5.488985193,8.08E-08,8.97E-06,7.641533105,down-regulated
LAP3,0.610977382,10.08179917,3.454014154,0.000624471,0.003394373,-0.71260392,up-regulated
SEL1L3,-0.610790115,10.02303008,-4.358414074,1.75E-05,0.000303859,2.583928338,down-regulated
C21orf59,-0.607379735,8.901947637,-6.213081762,1.57E-09,4.52E-07,11.38422853,down-regulated
UBE2H,-0.607265018,9.984193635,-3.448023655,0.000637988,0.003444434,-0.732100087,down-regulated
MOBKL2C,0.606090881,10.00424828,6.516140196,2.70E-10,9.54E-08,13.0589314,up-regulated
PLEKHO1,-0.605073549,10.77777986,-4.976404839,1.05E-06,5.05E-05,5.224982216,down-regulated
EIF2AK2,0.604875072,10.8234615,2.658279993,0.008237233,0.022188354,-3.022786524,up-regulated
ARL5A,-0.604612467,10.74273593,-4.897614715,1.52E-06,6.47E-05,4.871400423,down-regulated
C14orf153,-0.604142335,13.06049091,-5.544598819,6.05E-08,7.31E-06,7.915594799,down-regulated
BSG,-0.60373814,9.351648782,-2.586849356,0.010113973,0.025938619,-3.202161536,down-regulated
MT1F,0.603685667,10.70216785,5.473997721,8.73E-08,9.46E-06,7.568066512,up-regulated
LOC100128288,-0.602245784,13.54527605,-5.969449535,6.16E-09,1.27E-06,10.08341088,down-regulated
ADAR,0.601126722,12.77134701,4.562698218,7.14E-06,0.000170147,3.423087998,up-regulated
DEFA1,0.600431688,8.188019706,3.039548429,0.002559019,0.00927908,-1.986738551,up-regulated
FLJ44124,-0.595533271,13.21544625,-5.035644292,7.86E-07,4.18E-05,5.494008681,down-regulated
NONO,-0.595092066,10.3548124,-5.3015661,2.11E-07,1.73E-05,6.734870806,down-regulated
GALNT11,-0.594603789,9.626945001,-4.776722993,2.69E-06,9.23E-05,4.338346838,down-regulated
HIATL2,-0.594404663,13.09095927,-5.316264015,1.96E-07,1.65E-05,6.8050229,down-regulated
C8orf45,-0.593931036,13.43854924,-6.127968872,2.54E-09,6.49E-07,10.92511124,down-regulated
MFAP1,0.5933009,10.01820244,5.772867995,1.80E-08,3.08E-06,9.064202723,up-regulated
PPA2,-0.593140126,13.19280328,-5.42469582,1.13E-07,1.12E-05,7.327571297,down-regulated
NUP62,0.592890233,10.43373677,6.489855582,3.16E-10,1.09E-07,12.91124698,up-regulated
CYCSL1,-0.592811102,10.01118108,-5.141417555,4.69E-07,2.88E-05,5.981100463,down-regulated
PARP14,0.591053608,11.01466618,3.278440477,0.001155245,0.005241971,-1.27092901,up-regulated
SPOCK2,-0.589960973,10.9533893,-3.385664896,0.000795887,0.004021486,-0.933179125,down-regulated
ATP8B2,-0.5898209,11.25761862,-3.097027781,0.002122666,0.008105299,-1.819161832,down-regulated
MPO,0.589484673,8.545033771,3.573408883,0.000404978,0.002513278,-0.31749543,up-regulated
LOC401098,-0.588840869,12.49494964,-5.037149871,7.80E-07,4.16E-05,5.500881457,down-regulated
CEBPD,0.588557535,12.15422881,3.646260183,0.000309126,0.002085189,-0.070322498,up-regulated
CCNI,-0.588019844,13.36386676,-4.402555616,1.45E-05,0.000268413,2.762374182,down-regulated
RHOQ,-0.585700884,10.1704043,-5.176401852,3.94E-07,2.58E-05,6.144094699,down-regulated
MTF2,-0.585561949,9.809560685,-4.729326555,3.35E-06,0.000105035,4.132509974,down-regulated
INADL,-0.58504985,8.514347847,-5.917277431,8.21E-09,1.62E-06,9.810241582,down-regulated
PIP5K2B,-0.584546071,12.20602471,-5.492895492,7.92E-08,8.86E-06,7.660728225,down-regulated
SPCS3,0.583823921,10.57319117,5.437718635,1.05E-07,1.07E-05,7.390921116,up-regulated
LOC731789,-0.583459189,9.385798594,-5.465207741,9.14E-08,9.72E-06,7.52505665,down-regulated
PTGR2,-0.582230153,11.13226738,-4.668593338,4.42E-06,0.000125668,3.871364464,down-regulated
HLA-DQA1,-0.58055703,9.713696961,-1.854988827,0.064490932,0.112675563,-4.767189673,unchanged
HLA-DRB4,-0.580328253,10.92508655,-2.9074643,0.003890784,0.012618767,-2.360568398,down-regulated
GCLM,-0.579620007,9.925648971,-4.857717179,1.84E-06,7.21E-05,4.694206792,down-regulated
LOC646996,-0.57925246,11.58977969,-6.037654326,4.21E-09,9.74E-07,10.44341305,down-regulated
PRKCB1,0.578927587,12.3796997,5.980994556,5.77E-09,1.23E-06,10.14411895,up-regulated
C15orf63,-0.577327144,12.44093474,-4.950843063,1.18E-06,5.46E-05,5.109739446,down-regulated
FAM175A,-0.576627827,13.41249862,-5.100165152,5.74E-07,3.31E-05,5.790107051,down-regulated
NSF,0.575790173,11.84217465,9.841164191,3.34E-20,8.74E-17,34.93397446,up-regulated
C1orf24,-0.575083253,11.06634894,-3.411533087,0.000726413,0.003770533,-0.850179995,down-regulated
LOC728809,-0.574368428,13.72829089,-6.193704171,1.75E-09,4.91E-07,11.27926379,down-regulated
SSTR2,-0.573666141,10.66721519,-4.786588486,2.57E-06,8.94E-05,4.381415316,down-regulated
CD160,-0.572026315,10.15216702,-3.611071376,0.000352396,0.002285254,-0.190286735,down-regulated
ITPRIP,0.571990988,11.25168921,4.228315136,3.05E-05,0.000436805,2.067308742,up-regulated
EMILIN2,0.571960226,11.80706226,4.275524849,2.50E-05,0.000379812,2.253163679,up-regulated
RAB10,0.571565956,10.43335991,5.696597193,2.71E-08,4.15E-06,8.676211416,up-regulated
LOC100134053,-0.571436887,10.53263248,-5.363470328,1.54E-07,1.41E-05,7.031434274,down-regulated
GBP1,0.57007402,10.85391686,2.534009579,0.011739409,0.029072845,-3.331835367,up-regulated
LMOD3,-0.569345745,11.89092175,-4.525037701,8.44E-06,0.000188173,3.265838718,down-regulated
LOC100129905,-0.567360918,7.828676387,-4.95477082,1.16E-06,5.40E-05,5.127414271,down-regulated
TDRD1,-0.566573674,9.948945101,-5.463315806,9.23E-08,9.73E-06,7.5158068,down-regulated
ANKRA2,-0.565990187,8.925243157,-4.848301181,1.92E-06,7.40E-05,4.652570618,down-regulated
PEA15,0.565747117,10.40539677,4.635844782,5.13E-06,0.000137739,3.731771917,up-regulated
MAGT1,-0.564924353,12.37385382,-4.458590855,1.13E-05,0.000227334,2.991194032,down-regulated
ZNF860,-0.564714397,9.738109487,-4.697306719,3.88E-06,0.000116019,3.994462109,down-regulated
LEP,-0.564098245,10.22284428,-4.793257016,2.49E-06,8.73E-05,4.410570843,down-regulated
KIAA1539,0.563485468,9.659529227,3.664415817,0.000288805,0.001994788,-0.008008304,up-regulated
TMEM17,-0.562143804,13.30385156,-5.609697723,4.30E-08,5.70E-06,8.239290482,down-regulated
C20orf108,0.561812899,10.35726347,2.690050106,0.007508056,0.020645348,-2.94150389,up-regulated
LOC390354,-0.561438195,12.29667903,-2.961063796,0.003288304,0.011135939,-2.21076409,down-regulated
ZNF786,-0.561095106,11.16432667,-4.02609643,7.04E-05,0.000768737,1.292194815,down-regulated
KRT72,-0.560639445,8.487118985,-3.336361575,0.00094576,0.0045461,-1.089740784,down-regulated
MAFF,-0.560386259,11.02407715,-3.258627133,0.00123628,0.005498522,-1.332227897,down-regulated
KCTD20,-0.560345469,7.952275425,-8.035748626,1.68E-14,1.60E-11,22.32670646,down-regulated
ZNF557,-0.558960845,9.556566852,-5.612238077,4.24E-08,5.65E-06,8.251985004,down-regulated
C19orf59,0.558870134,11.99374368,3.122072487,0.001954903,0.007644085,-1.74522087,up-regulated
ZRANB2,-0.558863702,9.285840622,-5.376483367,1.44E-07,1.34E-05,7.094141534,down-regulated
LOC648852,-0.557543433,12.35795953,-4.486872489,1.00E-05,0.000209093,3.107652636,down-regulated
EOMES,-0.55716043,10.74269846,-3.69582425,0.00025659,0.001838541,0.100464254,down-regulated
LOC399940,-0.556140805,8.477029618,-4.470432957,1.08E-05,0.000219197,3.039878555,down-regulated
NUBPL,-0.555163624,11.80898344,-4.822103902,2.17E-06,8.01E-05,4.537097217,down-regulated
ECHS1,0.554986257,10.96194067,4.18286255,3.70E-05,0.000496276,1.890116016,up-regulated
C20orf177,-0.554455665,9.262152056,-4.038392794,6.70E-05,0.000742697,1.338350114,down-regulated
CD86,0.553899035,11.14116053,4.287717057,2.37E-05,0.000367893,2.301461102,up-regulated
PPIG,-0.552760412,8.874360975,-4.455438501,1.15E-05,0.000228999,2.978253486,down-regulated
SPOP,-0.552195365,11.59221273,-4.967826377,1.09E-06,5.18E-05,5.186250355,down-regulated
LOC100130229,-0.551601458,11.94518957,-2.101753778,0.036333733,0.071095214,-4.29549026,down-regulated
BLZF1,-0.550907158,12.67496139,-4.805604581,2.35E-06,8.43E-05,4.464648522,down-regulated
LGALS1,0.550265008,11.99284955,2.931114418,0.003613505,0.011947565,-2.294788819,up-regulated
ARL17P1,-0.549439184,8.453709336,-3.61933624,0.00034175,0.0022394,-0.162206809,down-regulated
TLR7,0.548613661,9.601439756,4.534582094,8.09E-06,0.000183918,3.305582369,up-regulated
FKBP14,-0.548205026,12.76261014,-4.733554336,3.28E-06,0.000104192,4.150798271,down-regulated
SQRDL,0.546464659,10.34410008,5.659726095,3.30E-08,4.80E-06,8.490156486,up-regulated
GRIPAP1,-0.545471056,12.55347111,-4.378880427,1.60E-05,0.000287902,2.666466934,down-regulated
TCN1,0.545367601,10.7206306,3.039417963,0.002560097,0.009279834,-1.987115544,up-regulated
CD163,0.544342222,9.195633443,3.824162892,0.000156916,0.001317453,0.552507697,up-regulated
PTAFR,-0.544148196,12.56731473,-3.51647753,0.000498608,0.002899852,-0.507446642,down-regulated
LOC54103,-0.544020037,9.53863228,-3.205456619,0.001480531,0.006262269,-1.495007382,down-regulated
BRI3,0.543958559,10.76005468,4.388311347,1.54E-05,0.00027993,2.704616272,up-regulated
LOC202781,-0.543051524,12.40402588,-4.603781845,5.93E-06,0.00015115,3.595934533,down-regulated
DEF6,0.542095402,11.4649077,4.733360676,3.28E-06,0.000104192,4.149960237,up-regulated
RAXL1,-0.541714421,9.950781996,-4.304569142,2.21E-05,0.000350481,2.368419665,down-regulated
PILRB,-0.540959782,9.871852783,-4.887867596,1.59E-06,6.68E-05,4.827996096,down-regulated
SYAP1,-0.540731892,11.6405306,-4.067624459,5.95E-05,0.000683906,1.448583332,down-regulated
LOC644511,-0.540570186,10.83958773,-3.029353316,0.002644524,0.009491716,-2.016152297,down-regulated
SMC1A,-0.540247936,8.055304606,-6.392182186,5.59E-10,1.79E-07,12.36647777,down-regulated
SLC26A8,0.539444623,8.466366676,3.665790612,0.000287319,0.001989769,-0.003278107,up-regulated
GYPE,0.53884499,10.54712481,2.090928355,0.037300247,0.072615677,-4.317385985,up-regulated
UQCRFS1,0.537849919,11.94101072,8.103337867,1.06E-14,1.11E-11,22.7699238,up-regulated
CCDC125,-0.537677915,11.83271837,-4.649084368,4.83E-06,0.00013249,3.788103031,down-regulated
ZNF682,-0.536852506,13.88079138,-5.696735175,2.71E-08,4.15E-06,8.676909538,down-regulated
LOC100128126,-0.536016462,9.397824856,-5.006683648,9.04E-07,4.56E-05,5.362148558,down-regulated
RAB7A,0.535516034,11.52341915,3.591777668,0.000378475,0.002393706,-0.255606821,up-regulated
ENO2,-0.533739869,10.28081518,-3.843754469,0.000145394,0.001252549,0.622754993,down-regulated
ZNF514,-0.532166889,8.444815783,-4.96555815,1.10E-06,5.21E-05,5.176018854,down-regulated
CAPZA2,-0.531337544,11.32437049,-2.325033509,0.020677232,0.045239723,-3.819418996,down-regulated
OCIAD1,-0.530111747,13.12939459,-5.068574799,6.70E-07,3.72E-05,5.644731922,down-regulated
SUZ12,-0.530093693,10.80607286,-4.373320986,1.64E-05,0.000291973,2.644012359,down-regulated
CA4,0.529344466,10.57616845,2.816633522,0.005145571,0.015490532,-2.608495811,up-regulated
ZNF540,-0.529223859,10.54638287,-3.88558589,0.000123415,0.001123567,0.773840021,down-regulated
C5orf28,-0.529048311,12.03622366,-4.720579203,3.48E-06,0.00010806,4.094716301,down-regulated
MYO9A,-0.528792005,8.068607659,-7.492399422,6.28E-13,4.59E-10,18.85528689,down-regulated
PATE2,-0.528715125,9.784215796,-5.441541186,1.03E-07,1.05E-05,7.409539977,down-regulated
TRIM22,0.527844031,10.6645041,2.226701232,0.026642837,0.055307777,-4.034819566,up-regulated
NBPF10,-0.527690659,8.249389387,-4.019636216,7.23E-05,0.000779626,1.267996905,down-regulated
PIK3AP1,0.527198209,10.05914058,3.603317842,0.000362667,0.00232745,-0.216575609,up-regulated
LOC158301,-0.52684443,8.128283651,-5.918573319,8.15E-09,1.62E-06,9.817003474,down-regulated
ZNF626,-0.526719242,8.991148266,-4.943446609,1.22E-06,5.56E-05,5.076488206,down-regulated
